Real		Imaginary
8033.79		0
5.4237		-3.98623
2.49663		-7.61479
-0.56874		-2.54613
-5.79749		-2.65132
9.40415		-3.34378
5.60984		2.78498
6.02019		3.34364
-7.33379		6.42052
1.70241		2.61076
4.52687		5.04835
-1.19646		5.30752
-0.188935		4.90279
0.924419		1.81031
-0.693822		2.59693
1.17392		1.10256
-0.379973		0.31407
-10.6773		0.778559
2.85548		-5.32932
6.08449		1.66151
-2.75659		4.23361
-4.70617		-1.9133
-0.650351		3.48629
-6.52555		1.39758
6.03966		8.82569
-1.93949		-8.68175
0.371119		-0.164769
-0.291863		-4.27617
3.40358		0.00909954
0.13263		1.39025
4.66578		-0.308166
11.0751		1.28859
-9.272		-4.26447
3.04281		-0.583339
-2.90264		2.55347
-7.11303		-6.89177
2.94843		-1.02166
-2.35139		3.00206
-2.31215		4.90999
-10.3478		0.315455
6.44573		1.17889
0.640259		-3.55161
0.895305		-2.22455
3.35428		-3.61604
1.94916		-1.55378
4.97567		8.10663
4.51857		-0.000725726
-4.85875		2.41653
5.0311		-3.74811
-2.81537		3.96569
-5.62526		-7.82967
-3.03895		-1.53502
2.13945		-5.77781
8.92475		3.71266
0.298792		0.365452
-3.1005		1.4164
-0.179316		0.964745
-1.34706		6.5683
-5.08485		-1.84548
2.26383		-1.08526
4.24297		4.68117
1.92932		-0.36874
5.21414		-0.871084
-9.73449		1.2107
9.82974		-4.99879
4.02248		1.36665
4.35181		0.0338468
-9.59299		2.14155
-9.40096		1.32366
-5.06635		-1.34019
-2.3011		-8.74847
-7.91424		0.750602
3.13348		-3.90823
2.05203		2.59933
-5.55291		-3.42195
-0.162021		-3.47147
1.27179		2.33441
-4.2665		3.74025
14.6519		2.77257
-0.813004		-4.99157
5.87283		4.68523
0.259226		-3.88898
-8.09422		0.965107
3.7059		-2.27894
-6.97841		-1.11678
3.99473		6.01407
0.348701		-3.66358
3.33749		1.56013
2.57101		-2.52606
7.61493		0.999931
1.27614		2.03093
-3.72932		-1.3962
-5.99671		3.68786
-4.9813		8.44888
-8.51809		-5.68166
0.10985		-5.66174
12.0251		-2.82849
5.67174		-8.6463
3.54691		-2.01519
3.68597		0.735288
-2.96588		4.99561
-6.06114		7.14668
7.42698		3.0363
-4.89698		1.30094
0.360113		8.38064
-6.49865		6.16519
3.49228		-3.64296
1.29098		-0.595314
-9.09835		-2.57857
-3.69776		5.41359
0.488699		4.20555
1.12505		-5.2275
-3.30607		-5.14033
-2.50949		-2.90266
3.76598		-3.81627
-5.39101		1.99303
4.81595		-1.20505
4.26429		-5.54612
0.379575		-4.07487
0.911692		-0.297346
-5.40086		9.4824
4.7204		4.35481
3.90507		-3.53054
-0.303234		2.35159
1.87635		2.79171
1.36127		-2.41009
0.837711		-4.65837
7.40997		4.48308
-2.56903		2.05221
-9.64642		2.75215
5.88043		-2.44962
-4.76231		8.62077
4.12041		1.28442
10.8403		-3.01373
-3.80069		3.73385
-1.57747		0.443526
-8.63746		-0.00584183
0.0724447		0.427318
-2.9956		-5.97995
-0.468767		-6.99428
0.578021		-3.55391
-4.7456		4.45554
-2.69001		11.1398
-5.91793		0.670554
0.907318		2.16913
-1.73402		1.86343
2.24411		9.50131
8.33768		-6.92863
-5.85567		-4.18337
-1.82681		-4.27673
0.494209		-2.46773
4.17098		-0.405278
12.7035		-7.62009
5.85102		-6.2678
-2.73405		1.51341
-2.79623		-1.14573
4.58089		5.1595
-0.0296693		9.55594
1.94551		1.20131
9.42424		2.45009
-8.40413		0.0594476
-4.30353		1.86964
-5.0397		-9.60412
2.778		0.86761
3.17653		2.02636
4.20713		-3.42503
10.3109		0.375319
0.0872787		-5.81284
6.68318		2.63309
6.90663		-2.06423
-2.51849		2.47444
6.53557		3.87942
-3.48486		4.15975
-0.241914		3.74577
-1.77159		3.16355
0.883724		-1.19381
1.31455		6.83325
1.40515		-3.19282
0.414377		3.54255
5.14962		6.18278
-0.740019		1.09781
3.51124		0.318646
4.8822		-5.93094
6.18673		-0.7882
0.941631		-3.12153
2.43498		3.39132
1.15059		-3.67144
2.04044		-8.954
3.1961		-4.35681
1.05599		-1.92408
2.51535		-5.78725
-3.71647		-5.15577
-5.32276		5.23166
-1.952		-11.9341
-1.84167		7.67837
-4.61444		-7.88112
-6.72915		-3.61911
-2.78172		-0.965197
3.90739		-7.19938
1.30271		0.81408
-9.09583		4.90083
-12.6444		-6.71268
-3.98823		-1.14587
2.20484		-1.8938
2.53818		-0.726934
-2.79991		-7.04405
-1.88064		3.35435
-3.98494		0.575109
2.56997		-4.58106
-4.27187		-1.09834
-0.0916919		-0.116845
7.56689		3.88316
-3.24721		4.54872
-5.9306		0.833028
0.123274		2.76777
-2.73263		5.12722
-1.38366		0.135508
-2.22879		-7.00479
6.99118		-0.011174
2.70498		-2.97475
6.55832		-4.18619
-10.0348		-0.895929
-2.13917		-1.48016
1.72798		-3.41643
-0.920402		-2.03834
3.41528		-2.75036
-1.59722		4.18377
-4.31222		9.71998
9.05631		-1.46291
8.30732		-11.3334
-0.348527		7.22716
-0.2094		-4.14287
3.78243		-3.68173
-5.90562		4.02432
-1.09301		-1.65692
-5.75116		-5.65209
-3.15498		-2.22199
-3.55027		-0.337213
0.264533		4.36202
-0.5457		0.0362603
7.30038		-6.69189
-1.67491		-0.711157
2.45001		2.22262
0.221057		3.26514
2.04928		3.78164
-1.41303		-4.15886
0.14768		3.57842
-3.5019		2.91281
-1.71991		-0.196926
1.74885		8.82082
-1.94395		3.85427
4.11374		-4.25787
-3.70137		5.13605
-3.50707		-4.98425
-1.80309		10.0807
-1.36827		2.4403
-5.88927		2.46237
7.58218		2.14526
-2.18318		8.09787
1.36765		3.75884
2.35292		-8.46099
-3.4404		0.853983
10.1656		-3.00139
-11.0625		3.8396
-4.98022		-0.0447308
3.82772		4.49419
-3.65451		-1.56738
4.44771		-7.53612
5.78418		3.38312
-4.22735		-1.39196
5.12135		0.567829
4.72891		-3.77231
1.06566		8.10788
-0.885176		4.54536
-3.11745		6.98552
1.45622		-1.3995
-0.216454		-4.9039
5.1541		0.935811
6.14704		-2.04037
6.2157		-4.68594
-7.54202		-3.699
-7.95831		-3.90148
1.78177		4.78342
-1.42755		7.71681
2.90161		9.07203
2.01057		2.51724
10.1008		-0.960342
1.72921		-1.01425
-0.0608252		0.678692
4.67791		11.6964
-5.62012		-6.66956
-4.15087		-3.79103
-8.82986		4.24349
-1.9298		-3.89303
1.51813		2.39917
4.49229		1.99429
5.44075		0.985092
-2.54562		-2.8998
3.20246		-13.0177
-4.62757		-5.90225
3.97223		0.870906
-4.58906		-3.59018
3.30273		-10.0449
-7.24528		8.24902
2.97974		1.98988
-0.790762		1.47842
2.30972		-2.96915
3.25634		-3.33828
1.18575		2.02359
-6.90473		-5.74153
-1.05396		7.84156
1.25626		4.4661
-2.66401		-5.66511
-5.66534		2.60293
-1.6922		-10.5171
5.43755		-0.692365
-3.22167		2.91977
-10.6		-4.83691
-4.02249		-4.3954
5.44974		5.89659
6.76047		-0.761347
-4.27646		2.55474
6.58922		-4.27159
-2.49726		3.61952
-2.77754		-3.87111
-0.705587		5.07129
-4.71442		-0.494694
7.2878		-6.17375
-2.05671		1.34768
-0.0468733		-3.30229
5.33889		-1.29846
2.81036		-4.77538
-0.40775		-2.73504
-2.51123		1.77467
0.302558		2.90874
8.28172		-3.4722
-4.64867		3.89895
1.83841		-9.89911
10.1947		4.40328
5.56976		9.74638
0.152212		-0.785905
-4.27981		2.22029
0.331289		11.2296
-0.166106		4.5018
0.297389		-5.07566
2.35096		-7.06885
-1.66021		-0.423221
7.04835		-5.79357
-2.20276		5.36229
-3.1722		-3.21104
1.379		-3.08827
-1.68154		1.95348
-1.97774		5.51428
-5.09945		-0.3287
-3.5654		2.27335
-2.1173		7.32602
-2.50365		-3.94734
-0.827621		-5.43312
-4.98427		9.28876
0.758019		8.08946
1.83914		1.51463
2.98362		-1.36572
-4.40696		2.83933
7.75599		3.68181
6.47756		-1.6356
2.26374		-1.15624
-3.64401		-5.66785
9.02701		-3.91492
-6.22731		0.852113
-10.7393		-1.06322
8.13443		-1.24271
-3.17928		1.23422
0.591863		-0.029914
4.83967		-8.25923
4.30329		-2.95235
-4.79736		-4.00373
3.34295		0.50328
0.437569		1.27174
-5.89031		6.14847
-4.3187		-3.74144
-6.73069		-10.7834
-0.280875		-5.37615
4.10597		11.4051
-1.22385		0.0151666
3.90207		6.58728
1.36127		-0.365256
6.82028		-1.03831
0.119698		6.75099
6.29766		12.2776
0.470545		4.46279
1.69451		-6.40168
-0.632947		-3.37822
-6.18272		-2.71675
-7.42057		2.99451
5.55618		-0.849923
-0.209049		4.93121
-3.94085		2.85122
-4.42985		-3.26421
-0.391286		3.27688
-4.0295		2.17803
-3.53709		-3.0326
2.90668		-5.2236
4.72473		0.231898
-2.20495		-0.969503
1.32367		-0.695774
7.64089		-0.0915131
-1.22516		-6.94973
-3.50371		1.84133
1.07169		-0.556477
1.76619		3.69458
-2.44129		-2.55235
-1.77237		-9.39092
4.44432		1.41465
-0.0945182		-1.45738
-5.85001		3.25285
-7.3029		-6.92916
-1.0611		8.59333
12.1703		3.37114
1.89729		2.91804
7.18062		-6.12787
-0.0425485		-0.593701
2.98433		2.49827
-1.3047		1.84814
-0.165597		-4.33283
0.565594		4.46056
-3.76792		-2.02543
-1.61701		4.14821
11.2149		-5.75523
-3.45298		1.66982
-6.63403		-1.45297
-4.50429		0.794801
6.37136		3.82656
-0.0220061		5.93374
-2.52758		-0.52205
4.09275		-0.201657
0.256527		1.41587
6.91989		-0.259188
-3.01036		6.19079
4.89947		2.15123
0.440326		5.58535
4.04574		8.96082
-5.76022		-0.461658
-2.58527		2.40892
1.58098		5.54233
-7.46462		5.42781
6.52028		-8.93914
4.93009		-5.96153
-0.301961		2.71614
-4.36887		7.13862
-5.05579		1.76565
-6.42647		4.85095
-10.744		-1.77373
1.59891		2.70853
8.14838		2.5573
0.402024		-0.287832
-2.68626		4.88339
6.54822		-5.78113
13.8576		1.31851
4.87135		-1.43061
-2.43606		-2.1561
-1.27223		-2.28648
3.28499		-3.701
-0.53288		3.88192
-0.342387		0.400651
-1.5263		2.99492
-8.0088		0.100008
-1.52713		4.10161
-3.57034		0.333357
-2.6513		-3.03263
-0.456382		-2.73239
-6.8463		-2.06963
-5.1704		2.55657
-2.24915		5.98442
-1.7259		3.71384
-4.6449		0.666718
4.17855		0.0961494
0.761959		6.60399
6.22007		4.71005
-3.51289		7.73125
-1.3981		2.98642
1.35157		-7.43565
-3.68267		9.31583
0.687455		1.92907
1.64159		-0.893348
-3.12938		-10.06
-9.79047		-5.6848
-2.94202		0.317323
0.736876		4.03639
0.754566		4.87465
0.842364		-7.70248
-1.37289		-6.45241
1.51466		1.21581
8.15106		-5.26109
11.1384		-3.44784
1.46671		2.18353
-6.37006		-4.14906
-3.16539		-1.33586
-0.788752		-5.47967
-1.32227		-4.20725
-1.22118		-0.963408
3.85607		-0.748849
-1.66521		4.56434
-3.97083		4.14835
-4.53296		2.96253
10.5194		2.03059
-3.57532		0.332278
-0.57477		1.0959
0.0357779		6.16375
9.94798		0.430723
-4.35711		3.37041
-2.38931		-7.90573
5.71465		5.57234
-12.5092		-5.25811
-3.28018		0.163358
-1.74124		12.551
-5.54924		5.84495
4.86603		0.115565
0.599104		-1.08353
9.97809		4.36254
-8.00023		-0.577966
-4.10326		-2.61623
-0.830763		-3.73309
3.67144		-2.74424
-7.32851		-0.0791771
0.111176		1.33193
-2.79525		-9.68232
-3.45738		0.947458
-0.497534		5.78725
-3.04436		-4.7429
1.28786		5.82671
-2.55705		-2.52031
-6.24435		4.75677
-0.188638		-3.31599
0.844334		-0.186078
7.90191		9.14544
3.09739		-2.22908
11.2291		-4.94012
-1.75609		-5.3506
1.75302		-2.71105
-1.38818		4.30928
4.00487		1.7826
5.67892		-1.29706
6.152		0.617253
-1.33977		-3.73445
-2.92585		1.46039
-2.37663		2.98264
-1.20861		3.20286
-2.32069		2.02832
-0.898706		1.11476
7.47929		0.810532
-0.30498		-7.832
0.732635		3.27637
-4.17687		-1.85235
0.38171		-8.56598
7.59529		8.37319
3.86118		-7.15642
11.1122		-1.18057
-0.900218		3.6655
-1.50878		-4.48414
-8.16105		-2.07438
10.0707		-5.88209
6.30875		0.802855
6.78369		1.26513
-6.27901		-8.07889
-5.97643		-2.27822
1.27169		0.291424
-3.28766		-3.12454
-3.32537		-2.56986
3.34795		-0.670816
4.86246		-0.903543
11.3162		-1.78119
1.58036		-2.00358
-6.87767		0.832634
-1.87981		6.0651
-0.287323		4.10439
-0.353829		-9.76013
7.96442		3.29269
2.19345		2.20578
3.03929		0.438217
-6.07295		3.94226
4.22635		-6.60783
7.39497		3.1198
-2.23027		-0.994975
5.12638		1.63522
-0.946711		3.93332
-10.8121		1.54832
6.93001		-4.43733
0.158399		-0.836886
5.12796		-11.5337
-2.06643		-8.03688
4.0617		-9.5406
-10.69		0.804696
-0.0125532		1.36297
-7.9603		-2.81974
0.179281		1.59341
1.88934		2.76104
-6.5525		-6.11808
0.327898		-1.35005
1.82263		-0.430856
-1.62303		0.646311
-2.9342		3.90394
-3.4366		4.90902
7.30504		-8.15012
-1.57911		3.41401
1.74231		3.04308
-4.37584		-6.40863
10.1423		-8.7154
1.76617		6.56383
-0.762975		1.26148
-3.74234		1.23074
-8.56154		0.136213
-14.8592		-5.13172
-1.05435		-2.36668
7.91243		-0.133704
10.197		-1.38848
0.288255		-1.9074
-0.602792		5.93575
-8.28794		-9.466
-3.84372		3.99116
-4.1276		6.76271
9.9005		8.33764
0.703172		-3.13328
-4.5067		-5.93464
4.12974		10.0915
3.09377		-5.50682
4.15373		-3.69575
1.33421		0.444873
1.22175		-4.89313
-4.47938		0.202925
-2.28947		6.35237
-1.45042		0.646828
-7.1052		6.73171
-1.5036		-5.51274
6.75039		5.09128
3.07648		-0.217207
-0.33064		0.52331
-2.89473		-0.576474
-3.04874		7.62493
3.32437		3.94467
-2.01046		-6.09777
-1.40514		-2.98587
3.50158		0.472688
-5.50804		0.955974
0.656871		-5.22706
-4.42405		-1.95963
7.67438		4.51204
-6.45461		2.2407
-13.4659		4.66787
0.281206		5.89528
1.96268		-2.94008
4.9926		-7.22065
-6.75609		-2.29649
-9.1917		-0.0924628
7.12428		-7.83344
2.53927		-7.47596
-0.395681		4.27302
-1.52286		4.1973
-0.748143		8.0158
13.3152		-0.513198
1.11675		1.52662
0.877212		3.51293
-6.29312		5.90985
-4.40199		-4.73725
4.44983		3.13433
-5.6997		1.23757
1.49164		-1.68564
4.84487		0.493965
-1.93648		-1.78115
0.110038		3.47283
1.38492		2.55765
-0.930668		1.37602
-1.72539		1.20111
-4.53987		3.11309
-0.316343		3.51934
4.02957		-5.19497
0.974124		-1.55808
-7.3742		-6.01076
2.18123		5.96435
-2.03164		-1.54596
-5.54073		-0.259636
-4.59738		5.77147
2.87193		-3.17597
-5.81592		-5.13523
0.356896		1.17206
-0.0551779		-1.33024
4.41943		2.70005
1.57358		-1.3018
-3.46603		1.32199
-2.52247		3.06921
0.302326		-1.42016
-0.922543		9.98485
-1.40329		-3.87311
-2.18936		2.03661
-9.11572		-4.13379
-2.30493		5.56127
5.2043		5.85433
2.24968		-2.2731
6.24161		6.07629
-5.19564		-4.36562
1.16171		8.042
1.26515		-5.5703
5.18931		-3.0735
0.307996		-3.16096
7.95561		-3.20413
-11.0704		-1.28092
-3.04069		5.38231
-5.11317		-1.07648
2.67967		-4.94379
3.37092		3.0886
-4.04275		-4.48172
-4.59499		7.07151
0.39993		-1.20738
5.40808		-11.6975
-1.89915		-0.791377
-0.107208		0.0727841
5.60052		-0.0885447
7.64388		5.13191
3.3641		-4.04602
3.69359		-5.74211
1.96165		8.40823
-0.991599		1.99703
-3.57173		2.28284
5.16215		1.76689
3.09253		-6.01605
7.11694		2.98173
-3.75622		-0.94299
-3.20673		-1.36743
-5.6671		0.522505
3.30681		0.711121
3.8629		-1.28302
7.92757		-8.43963
-3.03366		-5.76799
-3.00707		-2.5882
8.63598		4.47712
-0.58209		4.12197
-8.41028		2.99805
-5.6054		0.105173
-6.28412		-3.35642
-0.758744		2.53037
7.17014		-3.67444
-1.95402		-1.78943
-1.67737		-0.144064
3.48143		2.67633
1.60648		0.577153
5.11161		2.66428
3.95091		-3.67899
4.39743		-2.39459
2.46126		-0.821382
0.90095		3.52824
7.0964		4.03246
-5.49113		-2.93531
-3.82202		6.50175
-0.525488		0.240359
1.99254		2.73602
1.85291		-3.81811
9.53475		-6.67608
-2.40322		-7.03253
1.75753		-2.21096
7.25082		0.536901
6.6778		-2.31711
1.33342		-0.593117
-4.74304		-1.6358
0.272798		-4.36715
-1.57401		2.85983
2.50393		-5.19213
-4.60386		0.413292
-1.81329		-3.71293
-5.89249		-1.04965
-2.4517		10.126
2.84248		-2.04551
-6.19068		1.6777
9.3057		-1.4379
-5.72379		10.7093
-0.582867		-1.16208
-10.0612		7.02555
2.48114		3.65606
-6.51945		3.81202
3.41369		-1.30427
3.57399		-4.00026
0.146428		-1.32836
-0.135809		-3.57449
5.07199		-2.31468
-3.92443		4.08643
-1.85599		-5.29219
3.496		-1.47865
2.24061		-6.12339
-7.5398		2.90346
2.96932		4.17189
-4.96586		-4.00102
1.25663		8.05732
6.09081		6.67739
-4.56015		-0.0754837
0.873371		-4.02009
-0.76568		1.26384
6.07471		-3.80445
2.31176		1.36571
-0.28403		3.90283
4.06165		6.01746
-5.37401		-0.342186
-1.3097		-1.1902
-6.09243		-6.85451
-3.38738		3.96104
4.35844		2.44777
-4.68705		1.88021
-1.86062		-9.08532
-3.81102		4.79267
-1.19901		-0.145577
-0.0841134		-1.9414
3.89653		0.731126
-0.699747		2.47923
-3.12916		-5.58298
-0.561127		2.43881
-2.93365		-1.76756
-4.04024		-1.12835
-0.741167		-1.67362
3.11996		6.45362
2.44245		2.37334
1.61878		5.28856
9.75634		1.22911
-4.00991		-3.29442
8.31043		-8.29689
1.24626		2.3337
6.78875		2.14314
1.99994		1.35602
0.111914		-0.177445
-3.55548		5.04399
-0.348455		4.16102
-0.747174		-2.98956
1.27931		-6.72395
-7.4969		-6.95964
-3.28211		1.90451
-6.08519		0.0622043
1.56472		-6.35413
1.38591		-1.87512
-7.1509		1.11718
-1.71115		-3.25855
-6.53058		-2.73327
-10.6757		-2.23847
2.99009		-1.96259
-1.18857		0.0418645
2.81488		4.85007
7.92589		-1.32171
-0.467798		0.60281
7.30166		0.5335
-1.62751		4.82048
-0.187427		7.49016
-3.82434		-1.07262
3.17839		-8.93318
3.7611		3.27894
3.93357		4.94602
1.61327		5.05508
3.16975		1.58454
7.14862		4.12359
1.202		0.0533892
0.154373		4.24858
-2.14557		-0.448209
6.97928		1.1997
-0.117074		-0.394536
-2.01305		-0.169028
-2.31346		0.405799
-1.01399		-3.56215
4.43578		-7.65669
-9.01447		-4.73046
1.55437		-5.47409
-3.72388		-4.23724
-1.03739		-3.34352
2.52335		0.352393
2.04361		-5.51214
-4.92897		-1.47219
-0.565418		-2.18534
3.63166		2.23373
-7.80179		2.00825
4.20678		-4.63329
-0.301877		1.34502
3.51221		0.449013
-5.66632		-2.56457
0.632549		4.3104
1.26268		-3.56002
-2.15842		0.258554
2.2091		0.0200327
-9.02947		5.26856
1.25025		3.74054
2.01948		-3.04873
-4.03495		1.20515
4.29104		-4.00128
-7.82788		9.07935
-1.96745		0.0278221
-5.0879		3.632
-3.04026		2.5262
-1.96289		-6.13226
-3.97884		0.949685
-6.13586		-1.93042
3.32761		-3.11198
1.98417		2.8535
6.70042		-2.56752
-2.25423		-4.57762
7.0416		-1.49974
-5.53239		1.06902
-0.596508		1.87014
-0.502413		-9.75724
-0.492802		6.83965
-1.48485		-2.49659
-1.92529		0.243239
-3.19818		-0.699924
-5.6382		-5.71601
2.12782		-2.02446
6.53832		-2.82909
-1.38147		0.38226
-0.989822		1.37615
4.4638		6.41269
-6.13869		-2.04633
1.35621		-1.40298
5.66636		1.56225
4.52285		-4.02093
7.12473		-2.75224
-3.3531		-0.353336
-0.605709		-7.25785
1.33168		-4.80762
-3.19306		-2.4048
-3.79484		0.975667
-5.27655		-2.29295
-3.55401		-2.22455
0.657172		6.17858
4.65945		5.27353
1.23343		-0.157085
7.40048		-0.336653
0.114171		-5.06196
-2.23223		-1.55301
5.16742		-0.559694
-7.08847		5.39779
-6.00936		-2.76954
-5.93655		1.67391
-7.28813		-3.32096
-15.0981		5.51641
-0.813343		1.89153
7.72783		-11.3907
-0.876969		-2.81711
-1.68901		1.06099
0.721313		-1.9384
4.54122		12.9582
-1.54683		1.57998
0.126769		-2.28802
-2.64255		10.2025
6.70607		2.89782
-7.81632		-2.79337
5.8519		-1.52306
-0.921692		0.134093
0.226143		-2.74117
-2.91238		1.26648
-1.88683		-2.7338
-5.25685		-5.00516
1.19284		-0.438401
-0.90965		-0.368018
-4.21476		0.526626
8.21668		0.115099
-2.40845		5.07863
3.35975		-9.85884
-1.7592		-0.819462
2.27838		0.52063
3.67288		5.29606
1.18915		1.52103
-1.11606		2.11593
-1.83796		12.8728
-7.65215		-2.73532
3.40206		-4.16797
1.83551		-6.58384
-5.80314		10.6836
-2.80905		-2.05351
9.0216		0.913719
1.18441		2.45468
6.47951		2.73415
0.0571438		3.58723
-3.4927		-7.54578
2.60321		-7.57698
2.05674		2.232
-1.42255		2.77491
-0.294072		-0.640612
-0.492712		1.54013
-6.51696		4.39176
0.564334		-1.86561
4.80164		-3.20723
-0.553122		0.954909
-2.59963		1.74171
-0.104976		5.05785
2.65666		0.0379324
2.29786		3.04081
2.43732		-4.18966
-5.6166		5.9381
3.801		2.60677
-5.83272		-11.5444
-0.0427954		-1.43085
-4.45273		-4.66802
2.57829		4.74921
1.63353		4.00604
-0.746121		-6.61532
-1.61145		3.38479
-3.73314		-6.57711
4.0667		1.04159
-4.85254		8.73118
-3.35958		1.73139
5.456		3.91159
-1.64029		2.15957
-0.360226		-3.81963
1.45198		-0.0821575
-9.07216		10.2155
-3.17699		-0.152432
-1.45323		2.04066
2.42348		-4.27794
-0.428455		6.72251
-0.68007		-3.37775
2.51598		-6.41271
-5.07408		-1.74526
-3.29686		-5.81174
-3.29109		-9.2482
3.58031		0.318919
1.08237		1.07951
1.52083		-6.97622
-9.69931		7.35615
4.1039		5.6961
-1.93418		5.80212
1.24278		-7.1428
-2.8364		-4.0375
-2.55405		-2.83086
2.29364		-6.03284
1.80527		1.35497
4.4195		-0.416345
1.54604		4.06613
-3.56925		3.10359
3.3886		-1.85817
-5.52154		-5.68367
-2.45388		-7.34485
3.39156		1.19898
5.89938		5.39103
-0.0854779		11.0707
3.96201		-8.42871
1.65832		-2.07989
1.04312		-9.26913
2.0632		3.04816
2.28992		5.94534
2.87356		-6.42969
-4.32673		3.28705
-0.612242		4.10069
1.86562		8.72788
-0.258283		-0.592399
3.01875		-0.733794
-2.68904		-2.45452
-0.00130585		3.8273
0.659326		5.22351
3.80104		-2.71327
9.41388		-5.10691
2.43449		-0.545365
5.36441		-6.39435
6.25158		-5.54275
-0.243215		-3.73737
7.91047		1.16726
1.55656		7.92203
-2.99817		8.02178
1.77987		-1.10021
-5.50575		6.86976
2.0064		-0.522864
-1.22514		-0.538035
-3.9457		-5.57262
3.49445		0.97868
-1.60563		-2.87947
-1.13529		-8.2266
6.84573		-4.25877
-7.85289		-0.77593
-6.82351		8.04516
3.88016		-0.251786
4.22757		0.73781
-1.25406		3.24693
-4.90805		-0.76936
4.06475		-5.47488
0.706159		6.1621
-2.05735		-0.170308
2.0956		-2.71811
-4.53356		7.36191
9.36133		3.03638
9.30981		-2.05933
-2.29139		-1.69675
9.13053		-2.27132
-5.63418		-7.43394
-8.50472		-0.210205
9.59778		4.82936
0.14351		-1.73771
-3.06466		-1.10136
-0.623545		-4.35314
-5.14815		0.094469
4.50054		-1.35162
-0.257075		0.331782
-1.05951		-9.88771
-1.66841		-0.0130685
-5.51664		-1.33651
5.27031		-7.42845
1.84021		-7.60075
-5.36622		-4.84062
-0.110762		1.40216
-2.02743		-0.839195
1.42199		-4.42462
0.179663		4.20042
3.81365		-0.666033
-0.0770659		1.69734
4.88753		-4.93786
6.19622		9.16159
3.19266		-1.31277
-5.76356		-0.188539
3.58915		-2.9367
-7.02925		-3.82838
-2.87698		-6.3832
-7.60508		1.39053
